=N("node bench/sync.js samples/creationix.json 2000 9")
=N("clp (clarinet parser), cls (clarinet event emitter)")
=N("jpp (creationix/jsonparse), v8s (JSON.parse string)")
=N("v8b (JSON.parse buffer)")
clp, 1569
cls, 1954
jpp, 692
v8s, 144
v8b, 155
clp, 1866
cls, 1954
jpp, 823
v8s, 143
v8b, 153
clp, 1873
cls, 2027
jpp, 731
v8s, 143
v8b, 154
clp, 1873
cls, 1945
jpp, 683
v8s, 144
v8b, 154
clp, 1869
cls, 1942
jpp, 787
v8s, 150
v8b, 154
clp, 1874
cls, 1958
jpp, 683
v8s, 143
v8b, 153
clp, 1871
cls, 1958
jpp, 717
v8s, 143
v8b, 153
clp, 1865
cls, 1943
jpp, 707
v8s, 154
v8b, 153
clp, 1866
cls, 1955
jpp, 688
v8s, 145
v8b, 153
clp, 1876
cls, 1997
jpp, 687
v8s, 143
v8b, 154
